source,target,release_date,populairty
Giacomo Puccini,Luciano Pavarotti,1973,39
Giacomo Puccini,Tom Krause,1973,39
Giacomo Puccini,Piero de Palma,1973,39
Giacomo Puccini,Zubin Mehta,1973,39
Luciano Pavarotti,Tom Krause,1973,39
Luciano Pavarotti,Piero de Palma,1973,39
Luciano Pavarotti,London Philharmonic Orchestra,1973,39
Luciano Pavarotti,Zubin Mehta,1973,39
Tom Krause,Piero de Palma,1973,39
Tom Krause,London Philharmonic Orchestra,1973,39
Tom Krause,Zubin Mehta,1973,39
Piero de Palma,London Philharmonic Orchestra,1973,39
Piero de Palma,Zubin Mehta,1973,39
London Philharmonic Orchestra,Zubin Mehta,1973,39
Kris Kristofferson,Rita Coolidge,1974,33
Felix Mendelssohn,Daniel Barenboim,1974,32
Carl Orff,Cleveland Orchestra,1975,40
Carl Orff,Michael Tilson Thomas,1975,40
Cleveland Orchestra,Michael Tilson Thomas,1975,40
Neil Young,Crazy Horse,1975,32
Robert Fripp,Brian Eno,1975,31
Rufus,Chaka Khan,1975,27
John Abercrombie,Dave Holland,1975,33
John Abercrombie,Jack DeJohnette,1975,33
Dave Holland,Jack DeJohnette,1975,33
Wolfgang Amadeus Mozart,Murray Perahia,1976,38
Wolfgang Amadeus Mozart,English Chamber Orchestra,1976,38
Murray Perahia,English Chamber Orchestra,1976,38
Barbra Streisand,Kris Kristofferson,1976,33
Larry Gatlin,The Gatlin Brothers,1976,28
Waylon Jennings,Willie Nelson,1976,28
Waylon Jennings,Jessi Colter,1976,29
Eric Burdon,War,1976,27
Cluster,Eno,1977,33
Arne Domnérus,Georg Riedel,1977,38
Arne Domnérus,Bengt Hallberg,1977,38
Arne Domnérus,Lars Erstrand,1977,38
Georg Riedel,Bengt Hallberg,1977,38
Georg Riedel,Lars Erstrand,1977,38
Bengt Hallberg,Lars Erstrand,1977,38
Jim Morrison,The Doors,1978,34
Jerry Garcia Band,Jerry Garcia,1978,26
Pietro Mascagni,James Levine,1979,40
Pat Metheny,Lyle Mays,1981,33
Fania All Stars,Ismael Rivera,1981,31
Fania All Stars,Roberto Roena,1981,31
Fania All Stars,Luis Perico Ortiz,1981,31
Ismael Rivera,Roberto Roena,1981,31
Ismael Rivera,Luis Perico Ortiz,1981,31
Roberto Roena,Luis Perico Ortiz,1981,31
Jagjit Singh,Chitra Singh,1982,43
Johann Sebastian Bach,András Schiff,1983,35
Eurythmics,Annie Lennox,1983,41
Eurythmics,Dave Stewart,1983,41
Annie Lennox,Dave Stewart,1983,41
Waylon Jennings,Hank Williams,1983,28
Sergei Rachmaninoff,Berliner Philharmoniker,1984,38
Sergei Rachmaninoff,Lorin Maazel,1984,38
Berliner Philharmoniker,Lorin Maazel,1984,38
Harold Budd,Brian Eno,1984,33
Erik Satie,Pascal Rogé,1984,38
Franz Schubert,Murray Perahia,1984,38
Wolfgang Amadeus Mozart,Radu Lupu,1985,30
Murray Perahia,Radu Lupu,1985,30
Dave Grusin,Lee Ritenour,1985,35
Linda Ronstadt,JD Souther,1985,28
Ludwig van Beethoven,Alfred Brendel,1985,36
Skeeter Davis,NRBQ,1986,31
Nat King Cole,George Shearing,1987,39
Conway Twitty,Loretta Lynn,1987,31
Michael Crawford,Sarah Brightman,1987,35
Ludwig van Beethoven,Barry Wordsworth,1988,38
Ludwig van Beethoven,Jenő Jandó,1988,37
Arcangelo Corelli,The English Concert,1988,37
Arcangelo Corelli,Trevor Pinnock,1988,37
The English Concert,Trevor Pinnock,1988,37
Eazy-E,MC Ren,1988,33
